student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills_tech_python,skills_tech_excel,skills_tech_sql,skills_soft,family_siblings,family_income_father,family_income_mother,laptop_brand,laptop_year,phone_brand,phone_year,addr_city,addr_district,addr_postal
1,Claudia Short,20,Unknown,,+16193794152,Katieland,,,Data Science,,active,3.72,good,135.0,,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","gun, nice",2.0,5.0,1.0,"with, onto",4.0,1198.0,1089.0,HP,2021.0,Xiaomi,2021.0,Tashkent,South Kevin district,100539
3,Kathryn Moyer,20,Unknown,,,Lake Stevenmouth,,2017-08-14 00:00:00,Data Science,,pending,,excellent,185.0,,"Wendyshire 12-kv, dom 1, Tashkent","fast, clearly",5.0,3.0,1.0,"despite, clearly",1.0,263.0,202.0,HP,2020.0,Samsung,2023.0,Tashkent,,
4,Ruben Wilson,,Female,81.0,,Port Pamelafort,,1973-09-17 00:00:00,Data Science,,inactive,0.0,good,175.0,,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","left, role",3.0,5.0,1.0,"full, series",4.0,508.0,698.0,Lenovo,2020.0,Samsung,2024.0,Tashkent,North Tamara district,100097
5,Robert Pruitt,20,Female,,+11826595631,Kingburgh,,2023-11-25 00:00:00,Data Science,,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","sort, science",1.0,4.0,1.0,"whose, save",3.0,862.0,1058.0,Lenovo,2023.0,Apple,2022.0,,,
6,David Martinez,20,Male,,+10748286016,Hugheshaven,nathangibbs@hotmail.com,,Data Science,110,pending,15.5,average,8500.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551",,,,,,,,,,,,,Tashkent,North Jamesfurt district,100551
7,,18,Female,71.0,+13140180928,Sharpfurt,,1982-01-16 00:00:00,Data Science,,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","fall, teacher",4.0,1.0,4.0,"teacher, good",3.0,1270.0,931.0,HP,2018.0,Xiaomi,2023.0,Tashkent,,
9,,,Female,77.0,+18549645423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Data Science,110,active,15.5,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","require, open",1.0,5.0,4.0,"partner, walk",0.0,850.0,1062.0,Dell,2019.0,Apple,2020.0,Tashkent,,
10,Elizabeth Villegas,22,Female,,+12054674476,South Dianatown,,2013-02-11 07:12:29,Data Science,99,inactive,37.0,average,21500.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","management, to",1.0,1.0,4.0,"beat, southern",3.0,597.0,1150.0,Dell,2016.0,Xiaomi,2023.0,,,
11,Shawn Baker,19,Unknown,,+19868509629,Zhangstad,,2025-06-10 00:00:00,Data Science,110,active,37.0,excellent,18300.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,,,,,,,,,,,,Tashkent,North Samantha district,100659
12,,18,Female,71.0,,Austinside,,2013-01-14 19:16:00,Data Science,110,inactive,-2.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315",,,,,,,,,,,,,Tashkent,Morrismouth district,100315
